Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
FREN 101-L2,French I Lab,Days:    R,Time: 03:30 pm-04:30 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"Emphasizing the active use of the language, this course develops the fundamental skills of listening, speaking, reading, and writing. It includes an introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. For students with no previous work in French. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=101&section-1=L2,*First day attendance required*
FREN 101-L3,French I Lab,Days:  T,Time: 02:20 pm-03:20 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"Emphasizing the active use of the language, this course develops the fundamental skills of listening, speaking, reading, and writing. It includes an introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. For students with no previous work in French. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=101&section-1=L3,*First day attendance required*
FREN 101-L4,French I Lab,Days:    R,Time: 09:10 am-10:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"Emphasizing the active use of the language, this course develops the fundamental skills of listening, speaking, reading, and writing. It includes an introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. For students with no previous work in French. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=101&section-1=L4,*First day attendance required*
FREN 102-01,French II,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Claude Cassagne,Avail./Max.: 20 / 20,"This course continues the development of the skills of listening, speaking, reading, and writing, with increasing emphasis on the practice of reading and writing. It includes introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 101  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=102&section-1=01,*First day attendance required*
FREN 102-L1,French II Lab,Days:  T,Time: 08:00 am-09:00 am,Room:,Instructor: STAFF,Avail./Max.: 20 / 20,"This course continues the development of the skills of listening, speaking, reading, and writing, with increasing emphasis on the practice of reading and writing. It includes introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 101  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=102&section-1=L1,*First day attendance required*
FREN 102-L2,French II Lab,Days:    R,Time: 03:30 pm-04:30 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course continues the development of the skills of listening, speaking, reading, and writing, with increasing emphasis on the practice of reading and writing. It includes introduction to the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 101  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=102&section-1=L2,*First day attendance required*
FREN 111-01,Accelerated French I-II,Days: M W F,Time: 12:00 pm-01:00 pm,Room:,Instructor: El Hadji Diop,Avail./Max.: 20 / 20,"This course develops fundamental skills of listening, speaking, reading, and writing. It includes introduction to the cultural background of France and the francophone world. It is designed for students who have had some French prior to enrolling at Macalester or who want to review basic structures. The course prepares students for French III and includes two lab. Sessions. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=111&section-1=01,*First day attendance required*
FREN 111-L1,Accelerated French I-II Lab,Days:  T R,Time: 10:10 am-11:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course develops fundamental skills of listening, speaking, reading, and writing. It includes introduction to the cultural background of France and the francophone world. It is designed for students who have had some French prior to enrolling at Macalester or who want to review basic structures. The course prepares students for French III and includes two lab. Sessions. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=111&section-1=L1,*First day attendance required*
FREN 111-L2,Accelerated French I-II Lab,Days:  T R,Time: 08:00 am-09:00 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course develops fundamental skills of listening, speaking, reading, and writing. It includes introduction to the cultural background of France and the francophone world. It is designed for students who have had some French prior to enrolling at Macalester or who want to review basic structures. The course prepares students for French III and includes two lab. Sessions. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=111&section-1=L2,*First day attendance required*
FREN 194-01,Food in France and Francophone World: Local and Global,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Joelle Vitiello,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=194&section-1=01,*First-Year Course only; first day attendance required*
FREN 203-01,French III,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Juliette Rogers,Avail./Max.: 20 / 20,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=01,*First day attendance required*
FREN 203-02,French III,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Juliette Rogers,Avail./Max.: 20 / 20,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=02,*First day attendance required*
FREN 203-03,French III,Days: M W F,Time: 12:00 pm-01:00 pm,Room:,Instructor: STAFF,Avail./Max.: 20 / 20,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=03,*First day attendance required*
FREN 203-L1,French III Lab,Days:    R,Time: 10:10 am-11:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L1,*First day attendance required*
FREN 203-L2,French III Lab,Days:  T,Time: 02:20 pm-03:20 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L2,*First day attendance required*
FREN 203-L3,French III Lab,Days:  T,Time: 09:10 am-10:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L3,*First day attendance required*
FREN 203-L4,French III,Days:    R,Time: 01:20 pm-02:20 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L4,*First day attendance required*
FREN 203-L5,French III Lab,Days:  T,Time: 03:30 pm-04:30 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L5,*First day attendance required*
FREN 203-L6,French III Lab,Days:    R,Time: 02:20 pm-03:20 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"The aim of this course is to bring students to a point where they can use French for communication, both oral and written. At the end of this course students should be able to read appropriate authentic materials, write short papers in French and communicate with a native speaker. It consolidates and builds competencies in listening, speaking, reading and writing and includes study of the cultural background of France and the Francophone world. Class sessions are supplemented by weekly small group meetings with a French graduate assistant. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 102  or FREN 111  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=203&section-1=L6,*First day attendance required*
FREN 204-01,"Text, Film and Media",Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: El Hadji Diop,Avail./Max.: 20 / 20,"This course presents a study of the contemporary language and culture of France and the Francophone world through authentic materials including the French press, the internet, television, literature and film. At the end of this course students should have attained a more sophisticated level of communication in French, the ability to use their skills in French for a variety of purposes including research in other disciplines, and a full appreciation of the intellectual challenge of learning a foreign language and its cultures. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 203  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=204&section-1=01,*First day attendance required*
FREN 204-L1,"Text, Film and Media Lab",Days:  T,Time: 10:10 am-11:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course presents a study of the contemporary language and culture of France and the Francophone world through authentic materials including the French press, the internet, television, literature and film. At the end of this course students should have attained a more sophisticated level of communication in French, the ability to use their skills in French for a variety of purposes including research in other disciplines, and a full appreciation of the intellectual challenge of learning a foreign language and its cultures. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 203  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=204&section-1=L1,*First day attendance required*
FREN 204-L2,"Text, Film and Media Lab",Days:    R,Time: 08:00 am-09:00 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course presents a study of the contemporary language and culture of France and the Francophone world through authentic materials including the French press, the internet, television, literature and film. At the end of this course students should have attained a more sophisticated level of communication in French, the ability to use their skills in French for a variety of purposes including research in other disciplines, and a full appreciation of the intellectual challenge of learning a foreign language and its cultures. ALL COURSES ARE TAUGHT IN FRENCH UNLESS OTHERWISE INDICATED. Prerequisite(s): FREN 203  with a grade of C- or better, placement test or permission of instructor.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=204&section-1=L2,*First day attendance required*
FREN 305-01,Advanced Expression: Communication Tools,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Andrew Billing,Avail./Max.: 20 / 20,"This course is an intensive training in oral expression and corrective phonetics. Materials include news broadcasts from French TV, films and articles from the French and Francophone press. Grammar patterns that enhance communication will be studied. Class sessions are supplemented by small group meetings with French assistants and small conversation groups with Francophone tutors. Taught in French. Prerequisite(s): FREN 204, placement test or permission of instructor.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=305&section-1=01,
FREN 305-L1,Advanced Expression: Communication Tools,Days:  T,Time: 03:30 pm-04:30 pm,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course is an intensive training in oral expression and corrective phonetics. Materials include news broadcasts from French TV, films and articles from the French and Francophone press. Grammar patterns that enhance communication will be studied. Class sessions are supplemented by small group meetings with French assistants and small conversation groups with Francophone tutors. Taught in French. Prerequisite(s): FREN 204, placement test or permission of instructor.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=305&section-1=L1,*First day attendance required*
FREN 305-L2,Advanced Expression: Communication Tools,Days:    R,Time: 09:10 am-10:10 am,Room:,Instructor: STAFF,Avail./Max.: 10 / 10,"This course is an intensive training in oral expression and corrective phonetics. Materials include news broadcasts from French TV, films and articles from the French and Francophone press. Grammar patterns that enhance communication will be studied. Class sessions are supplemented by small group meetings with French assistants and small conversation groups with Francophone tutors. Taught in French. Prerequisite(s): FREN 204, placement test or permission of instructor.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=305&section-1=L2,*First day attendance required*
FREN 306-01,Introduction to Literary Analysis,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Juliette Rogers,Avail./Max.: 20 / 20,"This course is designed to develop the necessary skills for interpreting texts and for writing effectively in French.  The theme for this semester is “Empathy, Pros and Cons”. We will study a variety of texts that focus on the benefits and the negative results that come about from empathy and we will study theories of narrative empathy as well. The course is thus not a systematic survey of all French and francophone literature, but we will study many different genres (film, theater, autobiography, short story, essay, novel, poetry, song) and several different time periods to explore how empathy has been expressed in French and francophone societies over the centuries.  We will also work on a number of writing projects that will prepare you for upper-level courses in French and for study abroad in France or a francophone region.  This course is taught in French. Required for the French major and all 400-level courses in French. Prerequisite: French 204.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=306&section-1=01,*First day attendance required*
FREN 394-01,Introduction to the Documentary Film in Francophone Africa,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: El Hadji Diop,Avail./Max.: 20 / 20,"This course is designed to provide a broad overview of documentary practices in francophone Africa, from colonial-era informational and educational cinema to the wide range of genres obtaining in the current postcolonial period (docudramas, ecocritical documentaries, mockumentaries, web-i-docs, etc.). This exploratory journey through the non-fiction film in francophone Africa will be staged around three major “historical” signposts: the end of colonialism and the so-called ""birth"" of francophone African cinema on the banks of the Seine in Paris; the restless 1990s marking the emergence of women in film, video and television; the current documentary boom in the digital and post-digital ages, often with a cutting political edge. Sessions will consist of screenings, in class or at home, with short response papers as follow-ups. In addition, we will discuss secondary readings that address a host of issues such as, among others: the environmental footprint of colonialism, as can be gleaned from its own educational cinema and actualités (newsreels);  the high nonfictional content of fictional features in the “pioneer” films of Sembene, Hondo, Ganda, etc; the contested “documentary value” of historical genres such as the biopic and the epic; the close correlation between genre aesthetics and gender politics; epistemologies of the visual counter-archive: the uses of visual media, new and old, to mount challenges against long standing misrepresentations about the “real” in societies that remain “under Western eyes” and, more often than not, are passive consumers rather than producers of their own images; the status of the performative in mixed genres (domestic ethnography, web-i-docs, mockumentaries); postcolonial francophone documentary as an ethics of care and transcultural cinematic empathy. Prerequisite:  Any 300-level course.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=394&section-1=01,*First day attendance required; taught in French*
FREN 494-01,"Dreams, Drugs, and Demons: The Sacred and the Profane in French Literature and Culture",Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: Andrew Billing,Avail./Max.: 20 / 20,"IIn this course, we will examine representations of the sacred and the profane in French literature and culture from the early modern period through to the present. We will consider the sacred and religious dimensions of pre-modern French society via iconic figures including Joan of Arc; the medieval coronation ceremony (sacre des rois); the carnaval; and texts on demonology, witchcraft, and spirit possession. We will then explore the connections between Enlightenment rationality and materialism and the so-called “Super-Enlightenment” in which many leading eighteenth-century figures also dabbled: alchemy, arcana and the occult, the secret societies (Freemasons and Illuminati) accused of plotting the Revolution, and mysticism and speculative metaphysics. In the 19th century we will explore themes of transcendence, profanation, and excess in decadent poetry and the literature of the fantastique, and read texts on drugs (opium and hashish), and their relationship to dreams and the unconscious. Finally, we will explore secularization in contemporary France, the revolutionary history and specificity of French laïcité and its relationship to the “religions du Livre” (Judaism, Christianity and Islam), and French anxieties about the loss of transcendence and the retreat of religion from national and civic life, and its simultaneous return in the form of the religion of the ‘other.’  Prerequisite: French 306",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=494&section-1=01,*First day attendance required; taught in French*
FREN 494-02,Food in French,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Joelle Vitiello,Avail./Max.: 20 / 20,"Varies by semester. Taught in French. Â Recent offerings have included: Child Soldiers through Texts and Films, Quebec and Others, From the Far East to the Antipodes: Francophone Representations of Asia and the Pacific, and The Animal and the Human in the French Enlightenment. Prerequisite(s): One 300 level course is required depending on content of French 494.",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=FREN&course-1=494&section-1=02,*First day attendance required*
GEOG 111-01,Human Geography of Global Issues,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: David Lanegran,Avail./Max.: 35 / 35,"This course is an introduction to the global perspectives, basic concepts and fundamental questions of geography. It focuses on the ways through which all places on Earth are interconnected and how the human use of Earth's surface varies over space. Major topics covered will be the human perception of earth space and the ways people give order to space; the growth and distribution of human population; the localization and spatial characteristics of patterns of settlement and land use; geopolitics and colonialism; environmental geography; the geography of economic development and modernization; principles of the analysis of spatial diffusion; spatial aspects of retail marketing; the geographic analysis of selected issues in industrialized societies such as gender issues, racism, poverty, sport, and religion.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=111&section-1=01,
GEOG 113-01,"World Regional Geography: People, Places and Globalization",Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: William Moseley,Avail./Max.: 35 / 35,"We live in a world where one needs to simultaneously understand the biophysical and cultural particularities of different regions as well as the global forces that connect and bind them together. No longer can we afford to explore issues in one place in isolation, or to theoretically cruise along at 10,000 meters in the sky with no regard for the unique dynamics of different regions. This course begins with an exploration of global flows and connections, and then takes us on a scholarly tour of the world, with stop offs in Africa, the Middle East, Europe, Asia and the Americas. Along the way we'll systematically investigate major human and physical geography themes such as population dynamics and migration, agricultural change, human-environment interactions, health and disease, economic change and development, urbanization, and cultural shifts. This course is an alternative to GEOG 111 - Human Geography of Global Issues. Students should take one course or the other as an introduction to the field or the major.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=113&section-1=01,*First day attendance required*
GEOG 203-01,Introduction to Urban Ecology,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: I-Chun Catherine Chang,Avail./Max.: 20 / 20,"Urban ecology is both a concept and a field of study. It focuses on interactions between humans, urban ecosystems, and the built environment. With over half of the world's population now living in cities, cities have assumed a critical role in shaping local, regional, and global ecologies. In this course, we will examine the distinctiveness of the interconnected urban biophysical, socio-economic, and political processes. In order to disentangle the complexity of human-environment relations in cities, we will take an interdisciplinary approach and learn theories and concepts in natural science ecology, environmental studies, geography, urban planning, sociology, and public policies. We will use our campus and the Twin Cities as a ""living laboratory"" and apply these theories and concepts to laboratory exercises, field observation, case studies, and research on contemporary urban sustainability initiatives.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=203&section-1=01,*Cross-listed with ENVI 203-01; first day attendance required*
GEOG 225-01,Introduction to Geographic Information Systems,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Holly Barcus,Avail./Max.: 30 / 30,"This course provides an introduction to cartography, visualization, and analyses of geospatial data, as well as hands-on experience with geospatial technologies in the GIS laboratory. Students will learn the basics of mapping/cartography (e.g. scale, projections, map design) and Geographic Information Systems. Students will create maps with commonly used digital data (e.g., aerial photographs, census boundaries, digital elevation models, etc.), and master basic methods of spatial analyses. Both concepts and techniques will be taught in this course. Hands-on assignments include classification of demographic data and query/analysis of vector and raster data. One and one half laboratory hours per week required. Prerequisite(s): Permission of instructor.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=225&section-1=01,*Permission of instructor required; first day attendance required*
GEOG 225-L1,Introduction to Geographic Information Systems,Days:  T,Time: 09:40 am-11:10 am,Room:,Instructor: Ashley Nepp,Avail./Max.: 23 / 23,"This course provides an introduction to cartography, visualization, and analyses of geospatial data, as well as hands-on experience with geospatial technologies in the GIS laboratory. Students will learn the basics of mapping/cartography (e.g. scale, projections, map design) and Geographic Information Systems. Students will create maps with commonly used digital data (e.g., aerial photographs, census boundaries, digital elevation models, etc.), and master basic methods of spatial analyses. Both concepts and techniques will be taught in this course. Hands-on assignments include classification of demographic data and query/analysis of vector and raster data. One and one half laboratory hours per week required. Prerequisite(s): Permission of instructor.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=225&section-1=L1,*Permission of instructor required; first day attendance required*
GEOG 225-L2,Introduction to Geographic Information Systems,Days:   W,Time: 10:50 am-12:20 pm,Room: CARN 108,Instructor: Ashley Nepp,Avail./Max.: 23 / 23,"This course provides an introduction to cartography, visualization, and analyses of geospatial data, as well as hands-on experience with geospatial technologies in the GIS laboratory. Students will learn the basics of mapping/cartography (e.g. scale, projections, map design) and Geographic Information Systems. Students will create maps with commonly used digital data (e.g., aerial photographs, census boundaries, digital elevation models, etc.), and master basic methods of spatial analyses. Both concepts and techniques will be taught in this course. Hands-on assignments include classification of demographic data and query/analysis of vector and raster data. One and one half laboratory hours per week required. Prerequisite(s): Permission of instructor.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=225&section-1=L2,*Permission of instructor required; first day attendance required*
GEOG 232-01,"People, Agriculture and the Environment",Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: William Moseley,Avail./Max.: 30 / 30,"This course introduces you to the study of human-environment interactions from a geographic perspective, with a special emphasis on food and agriculture.  We examine environmental issues in a variety of geographic contexts (Global South and Global North) and the connections between environmental problems in different locations.  Beyond agriculture, we also explore other sectoral issues in relation to farming and food security.  These themes include: human population growth, consumption, biodiversity, climate change, and environmental health.  We try on a number of theoretical lenses from geography's broad human-environment tradition (such as physical geography, cultural ecology, commodity chain analysis, political ecology, resource geography, the human dimensions of global change, hazards geography and environmental justice).  In other words, we not only explore a range of agricultural and environmental issues, but also grapple with theory and how this informs our understanding of the human-environment interface.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=232&section-1=01,*First day attendance required; cross-listed with ENVI 232-01*
GEOG 241-01,Urban Geography,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Daniel Trudeau,Avail./Max.: 16 / 16,"This course seeks to explain the evolving pattern of North American cities and their antecedents in terms of the distribution and movement of people and resources as well as the effects of changes in transportation and communication technology. In addition, a careful analysis of the development and internal spatial structure of North American cities will be carried out. Much class time will be spent on discussion of contemporary urban problems such as segregation, unequal investment, and control of urban public space as well as attempts at their solution. We make extensive use of the Twin Cities as a case study. Field work required.",[],['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=GEOG&course-1=241&section-1=01,*First-Year Course only; first day attendance required*
